"year","ndjfm.SST"
1951,4.72242116928101
1952,4.66103647622195
1953,4.80967902703719
1954,4.53932931856676
1955,5.25203662785617
1956,4.65893997712569
1957,4.36624210531061
1958,5.8792499368841
1959,5.16594999053262
1960,5.24988790858876
1961,4.85664441802285
1962,4.59481204206293
1963,5.07740811001171
1964,5.5272273497148
1965,4.3055364522067
1966,4.76247942664406
1967,4.59394584569064
1968,4.96672694899819
1969,4.28790651668202
1970,5.4553514957428
1971,4.83173711083152
1972,3.76462923396717
1973,4.30348790342158
1974,4.36563955220309
1975,4.75593308102001
1976,4.40276502262462
1977,5.27359074679288
1978,4.57299617854032
1979,5.18165036548268
1980,5.20733434503729
1981,5.0173406644301
1982,5.22769104350697
1983,5.19336367520419
1984,5.65654784549366
1985,5.76193066510287
1986,4.93045157952742
1987,5.945086999373
1988,5.53496359044855
1989,4.93792911876332
1990,4.87805710705844
1991,4.73201283541593
1992,5.18356448086825
1993,4.89610741355202
1994,5.72495336532593
1995,4.54703759280118
1996,4.79450066306374
1997,4.75580423961986
1998,5.60935064662587
1999,5.3900175224651
2000,4.55934173844077
2001,5.33348839499734
2002,4.69457512335344
2003,6.24874011820013
2004,5.08807344870134
2005,5.08333767977628
2006,4.76889909397472
2007,4.40997421741486
2008,4.44193111766468
2009,4.24573256102475
2010,5.11790147261186
2011,5.11338640126315
2012,4.33462899381464
2013,4.90601448579268
2014,5.46357826319608
2015,6.29394205266779
2016,6.18465144417503
2017,6.04945562102578
2018,5.51402277512984
2019,6.47007057883523
2020,5.87640338377519
